"Z13U_REC_KEY","Z13_TITLE","Z13_IMPRINT","CONTROL_NUMBER","Z13_UPDATE_DATE"
"000912891","All these women.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113053","20150715"
"000912892","Devil's eye.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113055","20150715"
"000912893","Persona.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113057","20150715"
"000912894","Sawdust and tinsel.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113059","20150715"
"000912895","Smiles of a summer night.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113061","20150715"
"000912896","Summer interlude.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113063","20150715"
"000912897","Summer with Monika.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113065","20150715"
"000912898","The magician.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113067","20150715"
"000912899","The seventh seal.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113069","20150715"
"000912900","The silence.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113071","20150715"
"000912901","The virgin spring.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113073","20150715"
"000912902","Through a glass darkly.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113075","20150715"
"000912903","Wild strawberries.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113077","20150715"
"000912904","Winter light.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113079","20150715"
"000912905","American independents.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113081","20150715"
"000912906","A woman under the influence.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113083","20150715"
"000912907","Border radio.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113085","20150715"
"000912908","Clean, shaven.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113087","20150715"
"000912909","Down by law.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113089","20150715"
"000912910","Faces.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113091","20150715"
"000912911","George Washington.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113093","20150715"
"000912912","Mala Noche.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113095","20150715"
"000912913","Mystery train.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113097","20150715"
"000912914","Opening night.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113099","20150715"
"000912915","Paris, Texas.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113101","20150715"
"000912916","Shadows.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113103","20150715"
